degrees,description,merchant,price,title
211°,"Hier mein erster Deal. Habe eine ganze weile eher günstige E-Bikes verglichen, und bin auf das ETH 1801 gestoßen.  Dies ist momentan im Angebot bei MM, nochmals 10€ günstiger als b",Media Markt,877€,"Fischer E-Bike ETH/ETD 1801 bei Mediamarkt: Hinterradmotor, 396Wh, 36V, 28''"
146°,"Grad im Mediamarkt Mainz-Bischofsheim gesehen und wahrscheinlich ab 22Uhr bundesweit bei Mediamarkt zu haben:  LG 65SK8500LLA LED TV (Flat, 65 Zoll, UHD 4K, SMART TV, webOS 4.0)  T",NaN,1.299€,LG 65SK8500
132°,"Da ich erst vor kurzem die Maschine gekauft habe, weiß ich dass die Preise für die Maschine über 80 € lagen.  Jetzt gibts bei www.Mediamarkt.de + ebayshop  die Senseo Quadrante in ",eBay,65€,Senseo HD7865  Mediamarkt und Co. für 65 € VSK frei
268°,Morgen gibt es im Mediamarkt Landshut den Miele TDC130 A++ 7KG Speedcare Wärmepumpentrockner für sagenhafte 599 Euro.  Oder eben mal die Miele WDC130 Speedcare 7KG A+++ Waschmaschi,NaN,599€,Am Red Friday im MediaMarkt Landshut. Miele TDC130 A++ Wärmepumpentrockner für 599 Euro oder Miele WDB330 A+++ Waschmaschine für 777 Euro
312°,"Hallo zusammen,  Amazon hat jetzt auch nachgezogen und bietet es zum gleichen Preis an, aber anscheinend nur für Prime Kunden und scheint auch etwas versteckt zu sein ( Link ).   .",Media Markt,229€,[MediaMarkt] [RED FRIDAY] - NOKIA 7 Plus DS 64 GB Schwarz Dual SIM [Online]
NaN,"Bei Mediamarkt gibt es aktuell das Dell Inspiron 13 mit dem i7 8550, 8gb RAM , 256gb SSD, full HD Display  und AMD Readon 530 für 644€ , der nächste VGP liegt laut Idealo bei 848€ ",Media Markt,644€,Dell Inspiron 13 i7 8550u 8gb RAM AMD Radeon 530
NaN,"Mit einem Gutscheincode erhaltet ihr auf Ebay (MediaMarkt) das MediaPad M5 Lite für 179,10 EUR. Nächster Preis lautet aktuell 199 EUR bei diversen Händlern.  Details zum Tablet am ",eBay,"179,10€",HUAWEI MediaPad M5 lite 32 GB 10.1 Zoll Tablet Grau
364°,"Moin, bei Mediamarkt bekommt ihr derzeit das Spiel Giana Sisters: Twisted Dreams Owltimate Edition (Switch) für 17,99€ bei Abholung in einer Filiale. Ansonsten fallen 1,99€ versand",Media Markt,"17,99€",Giana Sisters: Twisted DreamsOwltimate Edition (Switch) [Mediamarkt Abholung]
201°,Zurzeit das beste Angebot online (EU Ware). Mediamarkt Preis 945€  Zusätzlich gibt es von Canon 80€ Cashback!,Amazon,829€,Canon EOS 80D Body
298°,"Hier ein paar Deals die es jetzt schon im Mediamarkt Bischofsheim gibt:     Huawei MediaPad T3 10  16GB WiFi 99€ VGP 127,99€  https://www.idealo.de/preisvergleich/OffersOfProduct/5",Media Markt,NaN,"Red Friday @Mediamarkt Bischofsheim Sammeldeal..Huawei Mediapad T3 10""  99€"
148°,"Hi,  ich mache mir mal die Arbeit und poste alle Innogy Smarthome Angebote, die ich während meiner Marktbesuche gefunden habe + Mitarbeiter Auskunft aus verschiedenen Märkten. Ich ",NaN,119€,Innogy Smarthome Region Nord MediaMarkt und Saturn
-160°,"Mediamarkt reagiert auf die Aktion von Goigle und bietet das Google 3 für 645,- Euro und dad Pixel 3 XL für 745,- Euro an.",Media Markt,745€,Red Friday**Google Pixel 3 und Pixel 3 XL
NaN,Wer einen soliden und guten Saugroboter benötigt sollte wohl nun zuschlagen. Momentan zum Bestpreis zu haben durch das Angebot von Mediamarkt + den 10% Gutschein von Ebay.   Im Kas,eBay,"314,10€",[Ebay] NEATO 945-0240 Botvac D5 Plus Connected Staubsaugerroboter
517°,"Bei MediaMarkt bekommt ihr die PS4 Nacon Controller inkl. Fifa 19 + Shadow of the Tom Raider für 79,99€ bei Abholung, ansonsten 1,99€ Versand.  versandkostenfrei .   Preisvergleich",Media Markt,"79,99€","Nacon Controller inkl. FIFA 19 + Shadow of the Tomb Raider [PlayStation 4] für 79,99€ [MediaMarkt]"
207°,"Wiedereröffnung bei Mediamarkt in Weilheim: Unter anderem die Sonos Play1 für 139€ zu bekommen. Auch noch andere Deals, z. b. Sony KD8505 XF65 für 1111€, Galaxy Tab A 10.1 für 149€",NaN,139€,"(Lokal) Sonos Play:1 für 139€, Sony 65XF 8505 für 1111€, Galaxy Tab A 10.1 für 149€ uvm. (@MM Weilheim, Wiedereröffnung)"
465°,"Ich denke, das Angebot ist ein Deal wert. Auf der Suche nach einen OLED war ich auch etwas enttäuscht, da es keine wirklichen C8 Angebote gibt, auf den ich eigentlich gewartet habe",Media Markt,999€,[LOKAL HH] LG OLED 55 B87 LC
539°,"Mit dem eBay-Coupon POWERFRIDAY bekommt man das Samsung Galaxy S9 Duos und und das S9 Plus mit 64GB für 409,50 Euro bzw. 499,00 Euro.   UPDATE 3:  Nun hat Saturn wieder nachgelegt.",eBay,"409,50€",Samsung Galaxy S9/S9+ 64GB - verschiedene Farben
